Order,New cases,death,date,month
1,14,,15,March
2,15,,16,March
3,14,1,17,March
4,26,1,18,March
5,25,1,19,March
6,55,1,20,March
7,83,2,21,March
8,64,3,22,March
9,103,2,23,March
10,37,8,24,March
11,121,,25,March
12,70,,26,March
13,160,,27,March
14,100,4,28,March
15,37,3,29,March
16,227,5,30,March
17,146,3,31,March
18,601,23,1,April
19,545,14,2,April
20,516,14,3,April
21,529,13,4,April
22,701,19,5,April
23,489,18,6,April
24,573,24,7,April
25,565,18,8,April
26,809,49,9,April
27,875,22,10,April
28,846,39,11,April
29,759,43,12,April
30,1248,27,13,April
31,1034,35,14,April
32,883,29,15,April
33,1060,26,16,April
34,922,38,17,April
35,2013,35,18,April
